julioFlores;julio@gmail.com;barranquilla;CLAROS;NORMAL;MANUALIDADES;LECTURAS;MAESTRIA;OTROS;2;1;1977;M;169;5
alanTuring;alan@ccom.com;bogota;CLAROS;NORMAL;LECTURAS;CINE;BACHILLER;ARTES;5;6;1960;M;180;1
marcTwain;marc@ccom.com;bogota;CLAROS;GRUESA;LECTURAS;MANUALIDADES;MAESTRIA;SALUD;4;7;1980;M;175;2
JuanPerez;juan@ccom.com;bogota;OSCUROS;DELGADA;DEPORTES;LECTURAS;PROFESIONAL;COMUNICACI‡N;22;3;1970;M;178;2
pabloNeruda;pablo@ccom.com;cali;OSCUROS;GRUESA;MUSICA;CINE;MAESTRIA;SALUD;3;4;1985;M;166;0
dianaPerez;diana@correo.ud;bogota;OSCUROS;NORMAL;LECTURAS;;PROFESIONAL;INGENIERIA;21;7;1987;F;154;2
AnaPerez;ana@hotmail.com;bogota;CLAROS;DELGADA;MUSICA;CINE;TECNICO;INGENIERIA;12;4;1989;F;184;1
LuisaMoreno;luisam@hotmail.com;cali;OSCUROS;NORMAL;DEPORTES;LECTURAS;BACHILLER;OTROS;24;8;1991;F;176;3
deicyAlvarado;deicy@correo.ud.co;bogota;OSCUROS;NORMAL;MANUALIDADES;LECTURAS;DOCTORADO;INGENIERIA;30;10;1944;F;168;4
alejandraOrtiz;aleja@hotmail.com;cali;OSCUROS;DELGADA;MUSICA;DEPORTES;MAESTRIA;OTROS;18;12;1946;F;160;0
lauraPrada;laura@hotmail.com;bogota;CLAROS;DELGADA;VIAJES;;PROFESIONAL;INGENIERIA;9;3;1948;F;165;4
andreaRamirez;andre@hotmail.com;cali;CLAROS;DELGADA;MUSICA;DEPORTES;PROFESIONAL;DISE•O;3;1;1950;F;158;0
angieOrtiz;angie@yahoo.com;medellin;OSCUROS;GRUESA;MUSICA;LECTURAS;MAESTRIA;OTROS;15;5;1952;F;157;3
leidyMorales;leidy@correo.ud;cali;CLAROS;NORMAL;LECTURAS;VIAJES;TECNICO;DISE•O;27;9;1954;F;177;0
deisyZambrano;deisy@correo.ud;cartagena;OSCUROS;DELGADA;LECTURAS;;DOCTORADO;INGENIERIA;27;11;1956;F;172;2
andreaParra;andrea@correo.ud;barranquilla;CLAROS;DELGADA;CINE;;PROFESIONAL;SALUD;6;2;1958;F;184;1
marcelaEspinoza;marce@correo.ud;ibague;CLAROS;GRUESA;DEPORTES;;PROFESIONAL;OTROS;27;9;1960;F;176;0
yamilePulido;yamile@hotmail.com;bogota;OSCUROS;DELGADA;MUSICA;LECTURAS;BACHILLER;OTROS;18;6;1962;F;168;2
anaAlba;ana@ccom.com;cali;OSCUROS;NORMAL;MUSICA;VIAJES;BACHILLER;SOCIALES;29;6;1995;F;160;3
mariaMoliner;maria@ccom.com;cali;OSCUROS;DELGADA;MUSICA;DEPORTES;MAESTRIA;INGENIERIA;15;12;1989;F;165;0
margaritaLopez;marga@ccom.com;bogota;CLAROS;GRUESA;VIAJES;CINE;ESPECIALIZACION;SOCIALES;9;1;1973;F;158;1
saraConnor;sara@ccom.com;cali;CLAROS;NORMAL;DEPORTES;MANUALIDADES;DOCTORADO;INGENIERIA;5;5;1988;F;157;0
